index,adr_department_name,adr_province_name,adr_district_name,OTROS,OTROS_BBVA,OTROS_BCP,OTROS_IBK,OTROS_NO PARTICIPANTES,OTROS_OTROS,OTROS_SCO,PRODUCTO PN,PRODUCTO PN_BBVA,PRODUCTO PN_BCP,PRODUCTO PN_IBK,PRODUCTO PN_NO PARTICIPANTES,PRODUCTO PN_OTROS,PRODUCTO PN_SCO,PRODUCTO PYME,PRODUCTO PYME_BBVA,PRODUCTO PYME_BCP,PRODUCTO PYME_IBK,PRODUCTO PYME_NO PARTICIPANTES,PRODUCTO PYME_OTROS,PRODUCTO PYME_SCO
1042,HUANUCO,PUERTO INCA,YUYAPICHIS,13954,66869,333278,7593,23188598,414062,16774,,187715,289590,405468,1755618,144876,465945,,,114074,,6992256,290033,53
1043,HUANUCO,YAROWILCA,APARICIO POMARES,98123,31820,262130,16538,12050047,1146723,747094,,828489,459786,579834,2516428,303707,768135,26504,,57078,,4882830,877573,34346
1044,HUANUCO,YAROWILCA,CAHUAC,36365,30478,48850,469041,4308952,457362,1144668,,319173,372470,750749,1736892,363021,149230,27736,,38414,76514,1814838,508510,24317
1045,HUANUCO,YAROWILCA,CHACABAMBA,31158,59279,428518,12024,5325309,671279,33714,,149468,403456,695673,1867491,260959,141480,686,,251104,,2096771,447246,
1046,HUANUCO,YAROWILCA,CHAVINILLO,50032,11572,183402,26854,7914789,896891,168309,,330140,875056,502431,2742046,332820,514356,6832,,91782,,3174826,995692,
1047,HUANUCO,YAROWILCA,CHORAS,69607,40291,201280,20660,4912548,857575,109938,,104865,383781,320674,1852232,275946,246707,37434,,15694,,1927218,485654,
1048,HUANUCO,YAROWILCA,JACAS CHICO,15619,3346,829201,3158,5928259,660237,71223,,165327,372858,162985,1101978,152766,188594,7331,65912,207243,,1905969,718054,
1049,HUANUCO,YAROWILCA,OBAS,26554,25871,284389,634981,7243292,1144877,89159,,508134,529051,1455877,4165425,800726,693623,4515,,38982,,2846031,638877,
1050,HUANUCO,YAROWILCA,PAMPAMARCA,24715,8106,19735,3818,2381697,613346,69709,,120386,338287,259448,1281491,69580,98218,1714,,23129,,807451,210113,
1051,ICA,CHINCHA,ALTO LARÁN,265975,2201030,8878619,2843558,32838790,5171052,6275813,,5615285,8066491,3721527,10706339,4251016,2543608,9748,,700131,,11433171,1441670,
