Nombre Banco;Departamento;Provincia;Distrito;Dirección;Latitud;Longitud;Tipo;Nombre Punto;Horario,,,,
BCP;LIMA;LIMA;PUENTE PIEDRA;AVENIDA PUENTE PIEDRA NUMERO 201;-11.8646437;-77.0750291;ATM;BOTICAS HOGAR & SALUD;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;ATE;URBANIZACION EL ÂXITO JIRON JOSE C. MARRIATEGUI NUMERO C1;-12.02418167;-76.89918159;ATM;BOTICAS ARCANGEL;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LA LIBERTAD;VIRU;VIRU;URBANIZACION PUENTE VIRU CARRETERA ASFALTADA PANAMERICANA NUMERO 345;-8.424202;-78.781844;ATM;RITSA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;ICA;CHINCHA;CHINCHA ALTA;CALLE GRAU NUMERO 214;-13.419003;-76.132465;ATM;ZONA VIP.COM;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LIMA;AVENIDA BAUZATE Y MEZA NUMERO 475;-12.0642617;-77.0280193;ATM;NOVAFARMA JOCHI;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;ATE;MANZANA J LOTE 15 ZONA URBANA: ASOC. FORTALEZA DE VITARTE;-12.03334285;-76.938441;ATM;FARMACOM SURI;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;JESUS MARIA;AVENIDA REPUBLICA DOMINICANA NUMERO 210;-12.0732802;-77.049966;ATM;BOTICA 24 HORAS;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN MIGUEL;CALLE NAPO NUMERO 95 TIENDA 2 TIENDA 2 URBANIZACION PANDO;-12.075392;-77.08127037;ATM;MULTIMARKET LEOÂ´S;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN JUAN DE LURIGANCHO;URBANIZACION LA HUAYRONA AVENIDA 13 DE ENERO NUMERO 2260;-11.9933308;-77.0050865;ATM;MEGAFARMA SALUD EIRL;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;COMAS;URBANIZACION EL ALAMO AVENIDA COLLIQUE NUMERO 300;-11.9322173;-77.0665527;ATM;BOTICA EL ALAMO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;MIRAFLORES;CALLE MARTIR JOSE OLAYA NUMERO 130-132;-12.119626;-77.03029625;ATM;OLAYA MARKET;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LAMBAYEQUE;CHICLAYO;CHICLAYO;AVENIDA JOSÃ BALTA NUMERO 891;-6.770496621;-79.83854272;ATM;NORTFARMA S.A.C;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;MAGDALENA DEL MAR;JIRON Comandante Jimenez  NUMERO 195c;-12.0951984;-77.0618546;ATM;BODEGA JULIA RODRIGUEZ;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;VILLA EL SALVADOR;URBANIZACION PACHACAMAC ETAPA II MANZANA B-LOTE 7;-12.2317153;-76.9224761;ATM;BIOMEDICA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN ISIDRO;AVENIDA PETIT THOUARS NUMERO 3026;-12.0929494;-77.032263;ATM;FARMACIA MERCEDES;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;CASTILLA;URACA;AVENIDA PROGRESO NUMERO 120 MANZANA F LOTE 23-A;-16.22382033;-72.47061068;ATM;FARMAVIDA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LAMBAYEQUE;CHICLAYO;CHICLAYO;CALLE EL DORADO NÂ° 1294;-6.758236216;-79.84389757;ATM;FARMACIA DORADO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SANTIAGO DE SURCO;AVENIDA El Polo # 598 NUMERO 598;-12.1024018;-76.9720336;ATM;MARKET SUAREZ;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN ISIDRO;AVENIDA CANAVAL MOREYRA NUMERO 664;-12.0970411;-77.0161311;ATM;FARMACIA MARIA AUXILIADORA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;SAN MARTIN DE PORRES;CALLE SANTA CATALINA MANZANA G LOTE 28 URBANIZACION SANTA ROSA.;-12.0087045;-77.0777914;ATM;BOTICA SEBASTIÃN;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LA LIBERTAD;PACASMAYO;SAN PEDRO DE LLOC;JIRON ALIANZA NUMERO 599;-7.4286111;-79.5049611;ATM;FARMACIA VITAL FARMA.;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;UCAYALI;CORONEL PORTILLO;CALLERIA;ASENTAMIENTO HUMANO 11 DE JULIO PROLONGACION SAN MARTÃN NUMERO 126;-8.38142893;-74.5292861;ATM;BOTICA EL PUEBLO;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;LA VICTORIA;JIRON ARCE JULIAN NUMERO 399;-12.08490115;-77.02258854;ATM;LIBRERÃA BAZAR BODEGA ROSITA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;LIMA;LIMA;RIMAC;URBANIZACION EL MANZANO AVENIDA ALCAZAR  NUMERO 798;-12.02680725;-77.03272932;ATM;INVERSIONES ZOILA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;JUNIN;CONCEPCION;CONCEPCION;AVENIDA MARISCAL CACERES NUMERO 389;-11.9189621;-75.31281771;ATM;CONASAC;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;AREQUIPA;CALLE SAN CAMILO NUMERO 501;-16.40334589;-71.53235146;ATM;BOTICA SANTA ROSA;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
BCP;AREQUIPA;AREQUIPA;AREQUIPA;CALLE SAMUEL VELARDE NUMERO 307;-16.40432531;-71.54952709;ATM;LIBRERÃA INTERNET LÃDER;L-V: 9:00 - 18:00 / S: 9:00 - 13:00 / D: 9:00 - 13:00,,,,
