departamento,provincia,distrito,banco,monto_pn,monto_pyme,monto_general,total_pn,total_pyme,total_general,%Participacion_PN,%Participacion_PYME,%Participacion_General
HUANCAVELÍCA,ANGARAES,LIRCAY,SCO,2182399.0,100355.0,2282754.0,17815276.0,2814506.0,20629782.0,0.12250155428408743,0.03565634608702202,0.11065332634149988
HUANCAVELÍCA,ANGARAES,SAN ANTONIO DE ANTAPARCO,BBVA,60918.0,0.0,60918.0,176978.0,4400.0,181378.0,0.34421227497203044,0.0,0.33586212219784095
HUANCAVELÍCA,ANGARAES,SAN ANTONIO DE ANTAPARCO,BCP,36674.0,4400.0,41074.0,176978.0,4400.0,181378.0,0.20722349670580525,1.0,0.22645524815578516
HUANCAVELÍCA,ANGARAES,SAN ANTONIO DE ANTAPARCO,IBK,10200.0,0.0,10200.0,176978.0,4400.0,181378.0,0.05763428222716948,0.0,0.05623614771361466
HUANCAVELÍCA,ANGARAES,SAN ANTONIO DE ANTAPARCO,SCO,69186.0,0.0,69186.0,176978.0,4400.0,181378.0,0.3909299460949949,0.0,0.3814464819327592
HUANCAVELÍCA,ANGARAES,SANTO TOMAS DE PATA,BBVA,24384.0,0.0,24384.0,423919.0,11897.0,435816.0,0.05752042253355004,0.0,0.055950217522991355
HUANCAVELÍCA,ANGARAES,SANTO TOMAS DE PATA,BCP,211174.0,11897.0,223071.0,423919.0,11897.0,435816.0,0.49814705167732515,1.0,0.5118467426620409
HUANCAVELÍCA,ANGARAES,SANTO TOMAS DE PATA,IBK,156747.0,0.0,156747.0,423919.0,11897.0,435816.0,0.3697569582868425,0.0,0.3596632523817391
HUANCAVELÍCA,ANGARAES,SANTO TOMAS DE PATA,SCO,31614.0,0.0,31614.0,423919.0,11897.0,435816.0,0.07457556750228228,0.0,0.0725397874332287
HUANCAVELÍCA,ANGARAES,SECCLLA,BBVA,158624.0,0.0,158624.0,595386.0,65763.0,661149.0,0.2664221194317636,0.0,0.23992171204978
