cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
371,-16.3637762,-71.5152722,agente,NEW_AGENTE_00371,691.0,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,5,BV00017460|BV00015853|BV00011653|BV00016165|BV00016040,42.5|98.5|149.5|197.0|203.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=691 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017460, BV00015853, BV00011653, BV00016165, BV00016040."", ""Insertar 1 punto consolidado en el centroide (lat=-16.363776, lon=-71.515272).""]"
372,-13.9306005,-75.922101,agente,NEW_AGENTE_00372,1501.5,ICA,ICA,SALAS,4,BV00016944|BV00017461|BV00013617|BV00016566,43.0|131.5|623.0|704.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,502 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016944, BV00017461, BV00013617, BV00016566."", ""Insertar 1 punto consolidado en el centroide (lat=-13.930601, lon=-75.922101).""]"
373,-11.9777474,-77.0458166,agente,NEW_AGENTE_00373,816.5,LIMA,LIMA,INDEPENDENCIA,5,BV00017468|BV00000385|BV00008018|BV00007829|BV00000386,43.0|148.0|178.5|201.0|246.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=816 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017468, BV00000385, BV00008018, BV00007829, BV00000386."", ""Insertar 1 punto consolidado en el centroide (lat=-11.977747, lon=-77.045817).""]"
374,-12.120344000000001,-75.17830466666666,agente,NEW_AGENTE_00374,1062.0,JUNIN,HUANCAYO,SAPALLANGA,3,BV00014663|BV00012681|BV00012243,43.0|92.5|926.5,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=1,062 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014663, BV00012681, BV00012243."", ""Insertar 1 punto consolidado en el centroide (lat=-12.120344, lon=-75.178305).""]"
375,-11.918257,-75.315204,agente,NEW_AGENTE_00375,510.0,JUNIN,CONCEPCION,CONCEPCION,5,BV00016185|BV00011658|BV00014270|BV00017519|BV00016631,44.5|61.0|70.0|82.0|252.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=510 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016185, BV00011658, BV00014270, BV00017519, BV00016631."", ""Insertar 1 punto consolidado en el centroide (lat=-11.918257, lon=-75.315204).""]"
376,-8.06698462,-79.06983240000001,agente,NEW_AGENTE_00376,691.0,LA LIBERTAD,TRUJILLO,LA ESPERANZA,5,BV00012079|BV00016965|BV00006337|BV00015097|BV00015915,44.5|45.5|147.5|207.0|246.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=691 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012079, BV00016965, BV00006337, BV00015097, BV00015915."", ""Insertar 1 punto consolidado en el centroide (lat=-8.066985, lon=-79.069832).""]"
377,-3.498213,-73.0914755,agente,NEW_AGENTE_00377,357.5,LORETO,MAYNAS,MAZAN,2,BV00017140|BV00016718,44.5|313.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=358 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017140, BV00016718."", ""Insertar 1 punto consolidado en el centroide (lat=-3.498213, lon=-73.091476).""]"
378,-11.252796999999997,-74.6379588,agente,NEW_AGENTE_00378,365.5,JUNIN,SATIPO,SATIPO,5,BV00015868|BV00016145|BV00016262|BV00013748|BV00017260,45.0|66.5|78.5|81.0|94.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=366 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015868, BV00016145, BV00016262, BV00013748, BV00017260."", ""Insertar 1 punto consolidado en el centroide (lat=-11.252797, lon=-74.637959).""]"
379,-5.159981200000001,-80.66507019999999,agente,NEW_AGENTE_00379,888.0,PIURA,PIURA,VEINTISEIS DE OCTUBRE,5,BV00014131|BV00013265|BV00012786|BV00012583|BV00011699,45.0|62.5|204.0|278.5|298.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=888 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014131, BV00013265, BV00012786, BV00012583, BV00011699."", ""Insertar 1 punto consolidado en el centroide (lat=-5.159981, lon=-80.665070).""]"
380,-11.888169600000001,-77.1288722,agente,NEW_AGENTE_00380,1179.0,CALLAO,CALLAO,VENTANILLA,5,BV00002624|BV00016376|BV00015968|BV00015313|BV00010013,45.0|228.5|280.5|308.0|317.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,179 ≤ 2,000)."", ""Retirar/absorber códigos: BV00002624, BV00016376, BV00015968, BV00015313, BV00010013."", ""Insertar 1 punto consolidado en el centroide (lat=-11.888170, lon=-77.128872).""]"
381,-12.194573,-76.9557736,agente,NEW_AGENTE_00381,303.0,LIMA,LIMA,VILLA EL SALVADOR,5,BV00017638|BV00017421|BV00016213|BV00003867|BV00014208,45.0|47.5|61.5|71.5|77.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=303 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017638, BV00017421, BV00016213, BV00003867, BV00014208."", ""Insertar 1 punto consolidado en el centroide (lat=-12.194573, lon=-76.955774).""]"
382,-5.737981333333333,-77.504036,agente,NEW_AGENTE_00382,1010.0,SAN MARTIN,RIOJA,PARDO MIGUEL,3,BV00016099|BV00011692|BV00003629,45.5|165.5|799.0,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=1,010 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016099, BV00011692, BV00003629."", ""Insertar 1 punto consolidado en el centroide (lat=-5.737981, lon=-77.504036).""]"
383,-12.1991406,-77.01530699999999,agente,NEW_AGENTE_00383,1300.0,LIMA,LIMA,CHORRILLOS,5,BV00017326|BV00007561|BV00015403|BV00003160|BV00016617,45.5|115.5|359.5|377.0|402.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,300 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017326, BV00007561, BV00015403, BV00003160, BV00016617."", ""Insertar 1 punto consolidado en el centroide (lat=-12.199141, lon=-77.015307).""]"
384,-13.4004382,-76.1329392,agente,NEW_AGENTE_00384,1058.0,ICA,CHINCHA,PUEBLO NUEVO,5,BV00016986|BV00017401|BV00017099|BV00003449|BV00013909,46.0|209.5|210.0|262.0|330.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,058 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016986, BV00017401, BV00017099, BV00003449, BV00013909."", ""Insertar 1 punto consolidado en el centroide (lat=-13.400438, lon=-76.132939).""]"
385,-8.5082376,-78.68506119999999,agente,NEW_AGENTE_00385,1369.0,LA LIBERTAD,VIRU,CHAO,5,BV00017310|BV00010891|BV00014265|BV00017535|BV00017649,46.0|175.5|268.0|276.5|603.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,369 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017310, BV00010891, BV00014265, BV00017535, BV00017649."", ""Insertar 1 punto consolidado en el centroide (lat=-8.508238, lon=-78.685061).""]"
386,-17.091247,-71.7630495,agente,NEW_AGENTE_00386,140.0,AREQUIPA,ISLAY,COCACHACRA,2,BV00011139|BV00006497,46.0|94.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=140 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011139, BV00006497."", ""Insertar 1 punto consolidado en el centroide (lat=-17.091247, lon=-71.763049).""]"
387,-7.8889,-79.22099175,agente,NEW_AGENTE_00387,684.5,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,4,BV00017577|BV00012603|BV00014870|BV00012145,46.0|58.0|243.0|337.5,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=684 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017577, BV00012603, BV00014870, BV00012145."", ""Insertar 1 punto consolidado en el centroide (lat=-7.888900, lon=-79.220992).""]"
388,-10.927373,-74.8734858,agente,NEW_AGENTE_00388,765.0,JUNIN,CHANCHAMAYO,PICHANAQUI,5,BV00017232|BV00012950|BV00003828|BV00012822|BV00009968,47.0|132.0|181.0|187.0|218.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=765 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017232, BV00012950, BV00003828, BV00012822, BV00009968."", ""Insertar 1 punto consolidado en el centroide (lat=-10.927373, lon=-74.873486).""]"
389,-10.9234784,-76.0579832,agente,NEW_AGENTE_00389,1866.5,JUNIN,JUNIN,CARHUAMAYO,5,BV00016367|BV00017596|BV00011375|BV00015425|BV00005421,47.0|100.0|510.5|594.0|615.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,866 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016367, BV00017596, BV00011375, BV00015425, BV00005421."", ""Insertar 1 punto consolidado en el centroide (lat=-10.923478, lon=-76.057983).""]"
390,-12.311481,-76.83561999999999,agente,NEW_AGENTE_00390,906.5,LIMA,LIMA,PUNTA HERMOSA,3,BV00013841|BV00015907|BV00011964,47.5|56.0|803.0,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=906 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013841, BV00015907, BV00011964."", ""Insertar 1 punto consolidado en el centroide (lat=-12.311481, lon=-76.835620).""]"
391,-15.980635999999999,-73.1723178,agente,NEW_AGENTE_00391,602.0,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,5,BV00012778|BV00014894|BV00016950|BV00017544|BV00010203,48.0|53.5|91.5|94.5|314.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=602 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012778, BV00014894, BV00016950, BV00017544, BV00010203."", ""Insertar 1 punto consolidado en el centroide (lat=-15.980636, lon=-73.172318).""]"
392,-3.7667598,-73.27609086,agente,NEW_AGENTE_00392,639.0,LORETO,MAYNAS,SAN JUAN BAUTISTA,5,BV00012255|BV00017220|BV00008433|BV00016141|BV00004825,48.0|127.5|135.5|157.0|171.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=639 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012255, BV00017220, BV00008433, BV00016141, BV00004825."", ""Insertar 1 punto consolidado en el centroide (lat=-3.766760, lon=-73.276091).""]"
393,-11.8648664,-77.073815,agente,NEW_AGENTE_00393,390.5,LIMA,LIMA,PUENTE PIEDRA,5,BV00015173|BV00005772|BV00005729|BV00008171|BV00016892,49.5|60.5|63.5|87.0|130.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=390 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015173, BV00005772, BV00005729, BV00008171, BV00016892."", ""Insertar 1 punto consolidado en el centroide (lat=-11.864866, lon=-77.073815).""]"
394,-4.830378399999999,-76.55663899999999,agente,NEW_AGENTE_00394,1184.0,LORETO,DATEM DEL MARAÑON,BARRANCA,5,BV00015015|BV00016339|BV00014523|BV00015506|BV00013531,49.5|206.0|244.0|262.0|422.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,184 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015015, BV00016339, BV00014523, BV00015506, BV00013531."", ""Insertar 1 punto consolidado en el centroide (lat=-4.830378, lon=-76.556639).""]"
