cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
923,-12.1579978,-76.9706328,agente,NEW_AGENTE_00923,1622.5,LIMA,LIMA,SAN JUAN DE MIRAFLORES,5,BV00011933|BV00007388|BV00015662|BV00010678|BV00017223,290.5|301.0|335.0|344.0|352.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,622 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011933, BV00007388, BV00015662, BV00010678, BV00017223."", ""Insertar 1 punto consolidado en el centroide (lat=-12.157998, lon=-76.970633).""]"
924,-13.164398999999998,-74.22733059999999,agente,NEW_AGENTE_00924,1725.5,AYACUCHO,HUAMANGA,AYACUCHO,5,BV00011174|BV00012380|BV00015736|BV00012007|BV00016571,291.0|305.5|330.0|399.0|400.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,726 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011174, BV00012380, BV00015736, BV00012007, BV00016571."", ""Insertar 1 punto consolidado en el centroide (lat=-13.164399, lon=-74.227331).""]"
925,-12.232959999999999,-76.9156842,agente,NEW_AGENTE_00925,1775.5,LIMA,LIMA,VILLA EL SALVADOR,5,BV00008034|BV00012909|BV00015521|BV00010676|BV00016503,291.5|321.0|345.5|370.5|447.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,776 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008034, BV00012909, BV00015521, BV00010676, BV00016503."", ""Insertar 1 punto consolidado en el centroide (lat=-12.232960, lon=-76.915684).""]"
926,-11.8510606,-77.0881362,agente,NEW_AGENTE_00926,1640.0,LIMA,LIMA,PUENTE PIEDRA,5,BV00014762|BV00012218|BV00008446|BV00014279|BV00009145,293.0|298.5|327.0|343.5|378.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,640 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014762, BV00012218, BV00008446, BV00014279, BV00009145."", ""Insertar 1 punto consolidado en el centroide (lat=-11.851061, lon=-77.088136).""]"
927,-12.015848600000002,-76.99572739999999,agente,NEW_AGENTE_00927,1902.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00007182|BV00013024|BV00016701|BV00008472|BV00005767,293.0|310.0|420.0|434.5|445.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,902 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007182, BV00013024, BV00016701, BV00008472, BV00005767."", ""Insertar 1 punto consolidado en el centroide (lat=-12.015849, lon=-76.995727).""]"
928,-12.10696675,-76.940056,agente,NEW_AGENTE_00928,1752.0,LIMA,LIMA,LA MOLINA,4,BV00015417|BV00013703|BV00002763|BV00009837,293.0|332.5|334.0|792.5,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,752 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015417, BV00013703, BV00002763, BV00009837."", ""Insertar 1 punto consolidado en el centroide (lat=-12.106967, lon=-76.940056).""]"
929,-12.022913200000001,-77.0944602,agente,NEW_AGENTE_00929,1638.0,CALLAO,CALLAO,CALLAO,5,BV00008316|BV00007009|BV00001894|BV00013908|BV00000596,294.0|331.0|334.5|338.5|340.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,638 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008316, BV00007009, BV00001894, BV00013908, BV00000596."", ""Insertar 1 punto consolidado en el centroide (lat=-12.022913, lon=-77.094460).""]"
930,-3.7601536,-73.27013720000001,agente,NEW_AGENTE_00930,1737.0,LORETO,MAYNAS,SAN JUAN BAUTISTA,5,BV00013504|BV00015822|BV00012602|BV00014857|BV00016198,296.0|314.5|329.0|377.5|420.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,737 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013504, BV00015822, BV00012602, BV00014857, BV00016198."", ""Insertar 1 punto consolidado en el centroide (lat=-3.760154, lon=-73.270137).""]"
931,-13.927748999999999,-75.67360550000001,agente,NEW_AGENTE_00931,673.5,ICA,ICA,SAN JOSE DE LOS MOLINOS,2,BV00014659|BV00013986,296.5|377.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=674 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014659, BV00013986."", ""Insertar 1 punto consolidado en el centroide (lat=-13.927749, lon=-75.673606).""]"
932,-12.069450999999999,-75.2221786,agente,NEW_AGENTE_00932,1741.5,JUNIN,HUANCAYO,EL TAMBO,5,BV00011301|BV00015140|BV00002887|BV00008991|BV00013403,297.0|313.0|346.0|377.5|408.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,742 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011301, BV00015140, BV00002887, BV00008991, BV00013403."", ""Insertar 1 punto consolidado en el centroide (lat=-12.069451, lon=-75.222179).""]"
933,-12.167571500000001,-76.91721749999999,agente,NEW_AGENTE_00933,858.5,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,2,BV00009499|BV00015674,297.5|561.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=858 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009499, BV00015674."", ""Insertar 1 punto consolidado en el centroide (lat=-12.167572, lon=-76.917217).""]"
934,-11.7763925,-77.167798,agente,NEW_AGENTE_00934,1288.0,LIMA,LIMA,ANCON,2,BV00011723|BV00017349,298.5|989.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,288 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011723, BV00017349."", ""Insertar 1 punto consolidado en el centroide (lat=-11.776393, lon=-77.167798).""]"
935,-12.036482799999998,-76.90469920000001,agente,NEW_AGENTE_00935,1748.5,LIMA,LIMA,ATE,5,BV00011800|BV00004810|BV00010241|BV00015891|BV00016157,298.5|310.0|342.5|392.0|405.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,748 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011800, BV00004810, BV00010241, BV00015891, BV00016157."", ""Insertar 1 punto consolidado en el centroide (lat=-12.036483, lon=-76.904699).""]"
936,-12.0833566,-77.03423699999999,agente,NEW_AGENTE_00936,1982.0,LIMA,LIMA,LINCE,5,BV00000786|BV00000108|BV00000548|BV00000843|BV00008129,299.5|314.5|365.5|492.0|510.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,982 ≤ 2,000)."", ""Retirar/absorber códigos: BV00000786, BV00000108, BV00000548, BV00000843, BV00008129."", ""Insertar 1 punto consolidado en el centroide (lat=-12.083357, lon=-77.034237).""]"
937,-11.8680532,-77.018809,agente,NEW_AGENTE_00937,1737.0,LIMA,LIMA,CARABAYLLO,5,BV00007519|BV00008031|BV00004181|BV00015702|BV00005813,299.5|320.5|334.5|391.0|391.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,737 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007519, BV00008031, BV00004181, BV00015702, BV00005813."", ""Insertar 1 punto consolidado en el centroide (lat=-11.868053, lon=-77.018809).""]"
938,-12.1527956,-76.93857220000001,agente,NEW_AGENTE_00938,1761.0,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,5,BV00005713|BV00010900|BV00010921|BV00011963|BV00009382,300.0|332.5|363.5|376.0|389.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,761 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005713, BV00010900, BV00010921, BV00011963, BV00009382."", ""Insertar 1 punto consolidado en el centroide (lat=-12.152796, lon=-76.938572).""]"
939,-9.801210999999999,-77.431537,agente,NEW_AGENTE_00939,873.0,ANCASH,RECUAY,CATAC,2,BV00011926|BV00012736,300.5|572.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=873 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011926, BV00012736."", ""Insertar 1 punto consolidado en el centroide (lat=-9.801211, lon=-77.431537).""]"
940,-11.985344200000002,-77.0946426,agente,NEW_AGENTE_00940,1820.5,LIMA,LIMA,SAN MARTIN DE PORRES,5,BV00009471|BV00006467|BV00010985|BV00015656|BV00008753,302.0|328.5|371.0|383.5|435.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,820 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009471, BV00006467, BV00010985, BV00015656, BV00008753."", ""Insertar 1 punto consolidado en el centroide (lat=-11.985344, lon=-77.094643).""]"
941,-12.028655200000001,-76.922883,agente,NEW_AGENTE_00941,1842.0,LIMA,LIMA,ATE,5,BV00004197|BV00014394|BV00013779|BV00014393|BV00002437,302.5|316.0|366.0|401.5|456.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,842 ≤ 2,000)."", ""Retirar/absorber códigos: BV00004197, BV00014394, BV00013779, BV00014393, BV00002437."", ""Insertar 1 punto consolidado en el centroide (lat=-12.028655, lon=-76.922883).""]"
942,-12.057147,-77.05830225,agente,NEW_AGENTE_00942,1578.5,LIMA,LIMA,CERCADO DE LIMA,4,BV00015347|BV00017106|BV00003751|BV00011574,302.5|350.0|415.5|510.5,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,578 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015347, BV00017106, BV00003751, BV00011574."", ""Insertar 1 punto consolidado en el centroide (lat=-12.057147, lon=-77.058302).""]"
943,-12.056064200000002,-77.0366454,agente,NEW_AGENTE_00943,1579.5,LIMA,LIMA,CERCADO DE LIMA,5,BV00003527|BV00001429|BV00007922|BV00007554|BV00014927,303.0|313.0|317.5|323.0|323.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,580 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003527, BV00001429, BV00007922, BV00007554, BV00014927."", ""Insertar 1 punto consolidado en el centroide (lat=-12.056064, lon=-77.036645).""]"
944,-9.949618599999999,-76.2502604,agente,NEW_AGENTE_00944,1757.5,HUANUCO,HUANUCO,PILLCO MARCA,5,BV00013945|BV00012254|BV00011563|BV00011808|BV00009581,303.0|321.0|332.0|333.0|468.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,758 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013945, BV00012254, BV00011563, BV00011808, BV00009581."", ""Insertar 1 punto consolidado en el centroide (lat=-9.949619, lon=-76.250260).""]"
945,-12.0729632,-77.0521432,agente,NEW_AGENTE_00945,1729.0,LIMA,LIMA,JESUS MARIA,5,BV00015001|BV00012396|BV00001068|BV00007841|BV00010595,303.5|351.0|352.0|353.5|369.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,729 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015001, BV00012396, BV00001068, BV00007841, BV00010595."", ""Insertar 1 punto consolidado en el centroide (lat=-12.072963, lon=-77.052143).""]"
946,-12.0765186,-75.21395500000001,agente,NEW_AGENTE_00946,1906.0,JUNIN,HUANCAYO,HUANCAYO,5,BV00014638|BV00006024|BV00014048|BV00016313|BV00015716,303.5|346.5|382.0|400.0|474.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,906 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014638, BV00006024, BV00014048, BV00016313, BV00015716."", ""Insertar 1 punto consolidado en el centroide (lat=-12.076519, lon=-75.213955).""]"
947,-10.92703075,-74.873801,agente,NEW_AGENTE_00947,1623.0,JUNIN,CHANCHAMAYO,PICHANAQUI,4,BV00016359|BV00013267|BV00012658|BV00009957,304.0|310.0|493.5|515.5,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,623 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016359, BV00013267, BV00012658, BV00009957."", ""Insertar 1 punto consolidado en el centroide (lat=-10.927031, lon=-74.873801).""]"
948,-12.0687068,-76.9515468,agente,NEW_AGENTE_00948,1766.5,LIMA,LIMA,LA MOLINA,5,BV00015846|BV00004732|BV00016137|BV00015271|BV00000785,304.0|335.0|356.0|381.5|390.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,766 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015846, BV00004732, BV00016137, BV00015271, BV00000785."", ""Insertar 1 punto consolidado en el centroide (lat=-12.068707, lon=-76.951547).""]"
949,-11.8910856,-77.02560680000002,agente,NEW_AGENTE_00949,1740.0,LIMA,LIMA,CARABAYLLO,5,BV00017395|BV00013379|BV00000676|BV00012375|BV00013862,305.5|313.5|370.5|374.5|376.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,740 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017395, BV00013379, BV00000676, BV00012375, BV00013862."", ""Insertar 1 punto consolidado en el centroide (lat=-11.891086, lon=-77.025607).""]"
950,-7.17232,-79.486313,agente,NEW_AGENTE_00950,1347.5,LA LIBERTAD,CHEPEN,PACANGA,2,BV00017494|BV00012075,306.5|1041.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,348 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017494, BV00012075."", ""Insertar 1 punto consolidado en el centroide (lat=-7.172320, lon=-79.486313).""]"
951,-12.055623,-77.11633325,agente,NEW_AGENTE_00951,1528.0,CALLAO,CALLAO,CALLAO,4,BV00015678|BV00013547|BV00001122|BV00005126,307.0|383.5|417.0|420.5,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,528 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015678, BV00013547, BV00001122, BV00005126."", ""Insertar 1 punto consolidado en el centroide (lat=-12.055623, lon=-77.116333).""]"
952,-12.032320799999999,-76.9511696,agente,NEW_AGENTE_00952,1850.0,LIMA,LIMA,ATE,5,BV00007969|BV00016877|BV00012519|BV00010784|BV00003137,307.5|346.0|366.5|404.5|425.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,850 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007969, BV00016877, BV00012519, BV00010784, BV00003137."", ""Insertar 1 punto consolidado en el centroide (lat=-12.032321, lon=-76.951170).""]"
953,-12.049062600000001,-77.01809800000001,agente,NEW_AGENTE_00953,1781.5,LIMA,LIMA,CERCADO DE LIMA,5,BV00009358|BV00006823|BV00014106|BV00005334|BV00015776,307.5|317.0|338.5|357.0|461.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,782 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009358, BV00006823, BV00014106, BV00005334, BV00015776."", ""Insertar 1 punto consolidado en el centroide (lat=-12.049063, lon=-77.018098).""]"
954,-7.178447199999999,-78.5019404,agente,NEW_AGENTE_00954,1749.5,CAJAMARCA,CAJAMARCA,CAJAMARCA,5,BV00011446|BV00010998|BV00015616|BV00016751|BV00002871,308.5|345.0|352.5|362.5|381.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,750 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011446, BV00010998, BV00015616, BV00016751, BV00002871."", ""Insertar 1 punto consolidado en el centroide (lat=-7.178447, lon=-78.501940).""]"
955,-6.5069015,-79.85931375000001,agente,NEW_AGENTE_00955,1514.5,LAMBAYEQUE,LAMBAYEQUE,TUCUME,4,BV00014408|BV00014625|BV00005546|BV00008104,309.0|364.5|406.0|435.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,514 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014408, BV00014625, BV00005546, BV00008104."", ""Insertar 1 punto consolidado en el centroide (lat=-6.506901, lon=-79.859314).""]"
956,-11.9683852,-77.10556319999999,agente,NEW_AGENTE_00956,1680.5,LIMA,LIMA,SAN MARTIN DE PORRES,5,BV00005633|BV00007585|BV00012719|BV00007538|BV00008049,309.5|315.0|347.5|351.0|357.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,680 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005633, BV00007585, BV00012719, BV00007538, BV00008049."", ""Insertar 1 punto consolidado en el centroide (lat=-11.968385, lon=-77.105563).""]"
957,-7.154215599999999,-78.52036660000002,agente,NEW_AGENTE_00957,1777.5,CAJAMARCA,CAJAMARCA,CAJAMARCA,5,BV00013712|BV00015101|BV00013613|BV00015996|BV00016326,309.5|340.0|345.5|359.5|423.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,778 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013712, BV00015101, BV00013613, BV00015996, BV00016326."", ""Insertar 1 punto consolidado en el centroide (lat=-7.154216, lon=-78.520367).""]"
958,-8.1129644,-79.0248538,agente,NEW_AGENTE_00958,1715.5,LA LIBERTAD,TRUJILLO,TRUJILLO,5,BV00016793|BV00016987|BV00009664|BV00012472|BV00011547,310.0|317.0|335.5|341.5|411.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,716 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016793, BV00016987, BV00009664, BV00012472, BV00011547."", ""Insertar 1 punto consolidado en el centroide (lat=-8.112964, lon=-79.024854).""]"
959,-6.889890666666666,-79.56186166666667,agente,NEW_AGENTE_00959,1334.5,LAMBAYEQUE,CHICLAYO,CAYALTI,3,BV00014166|BV00017181|BV00006392,310.0|398.0|626.5,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=1,334 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014166, BV00017181, BV00006392."", ""Insertar 1 punto consolidado en el centroide (lat=-6.889891, lon=-79.561862).""]"
960,-11.9983422,-77.00211199999998,agente,NEW_AGENTE_00960,1677.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00014206|BV00017197|BV00016578|BV00000522|BV00006475,310.5|323.5|336.5|350.0|357.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,678 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014206, BV00017197, BV00016578, BV00000522, BV00006475."", ""Insertar 1 punto consolidado en el centroide (lat=-11.998342, lon=-77.002112).""]"
961,-3.7568457499999997,-73.26021325,agente,NEW_AGENTE_00961,1565.0,LORETO,MAYNAS,IQUITOS,4,BV00013607|BV00013947|BV00017430|BV00013722,311.0|325.5|460.5|468.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,565 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013607, BV00013947, BV00017430, BV00013722."", ""Insertar 1 punto consolidado en el centroide (lat=-3.756846, lon=-73.260213).""]"
962,-7.181991,-76.72886475,agente,NEW_AGENTE_00962,1496.5,SAN MARTIN,MARISCAL CACERES,JUANJUI,4,BV00011044|BV00015836|BV00006001|BV00012378,311.0|358.0|385.5|442.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,496 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011044, BV00015836, BV00006001, BV00012378."", ""Insertar 1 punto consolidado en el centroide (lat=-7.181991, lon=-76.728865).""]"
963,-11.9395472,-77.06730780000001,agente,NEW_AGENTE_00963,1844.0,LIMA,LIMA,COMAS,5,BV00000853|BV00015068|BV00000008|BV00009884|BV00014397,311.0|342.5|346.5|408.0|436.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,844 ≤ 2,000)."", ""Retirar/absorber códigos: BV00000853, BV00015068, BV00000008, BV00009884, BV00014397."", ""Insertar 1 punto consolidado en el centroide (lat=-11.939547, lon=-77.067308).""]"
964,-13.173073749999999,-74.222904,agente,NEW_AGENTE_00964,1734.5,AYACUCHO,HUAMANGA,CARMEN ALTO,4,BV00012936|BV00015973|BV00014400|BV00015993,311.0|410.5|456.0|557.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,734 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012936, BV00015973, BV00014400, BV00015993."", ""Insertar 1 punto consolidado en el centroide (lat=-13.173074, lon=-74.222904).""]"
965,-8.3847892,-74.5327214,agente,NEW_AGENTE_00965,1915.0,UCAYALI,CORONEL PORTILLO,CALLERIA,5,BV00003551|BV00009970|BV00016767|BV00007058|BV00017493,311.5|340.0|397.0|400.5|466.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,915 ≤ 2,000)."", ""Retirar/absorber códigos: BV00003551, BV00009970, BV00016767, BV00007058, BV00017493."", ""Insertar 1 punto consolidado en el centroide (lat=-8.384789, lon=-74.532721).""]"
966,-11.833788799999999,-77.1054484,agente,NEW_AGENTE_00966,1994.0,LIMA,LIMA,PUENTE PIEDRA,5,BV00012972|BV00013574|BV00013144|BV00000082|BV00012711,311.5|378.0|380.5|429.0|495.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,994 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012972, BV00013574, BV00013144, BV00000082, BV00012711."", ""Insertar 1 punto consolidado en el centroide (lat=-11.833789, lon=-77.105448).""]"
967,-12.054942,-77.029098,agente,NEW_AGENTE_00967,1715.5,LIMA,LIMA,CERCADO DE LIMA,5,BV00006825|BV00015700|BV00007581|BV00010967|BV00014729,311.5|332.0|345.5|361.5|365.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,716 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006825, BV00015700, BV00007581, BV00010967, BV00014729."", ""Insertar 1 punto consolidado en el centroide (lat=-12.054942, lon=-77.029098).""]"
968,-11.964025,-76.9885864,agente,NEW_AGENTE_00968,1723.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00017417|BV00006582|BV00017096|BV00007622|BV00004738,311.5|316.0|319.5|366.0|410.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,724 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017417, BV00006582, BV00017096, BV00007622, BV00004738."", ""Insertar 1 punto consolidado en el centroide (lat=-11.964025, lon=-76.988586).""]"
969,-9.915212,-76.2308355,agente,NEW_AGENTE_00969,1483.5,HUANUCO,HUANUCO,AMARILIS,4,BV00015838|BV00013957|BV00016822|BV00008463,312.0|341.0|345.5|485.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,484 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015838, BV00013957, BV00016822, BV00008463."", ""Insertar 1 punto consolidado en el centroide (lat=-9.915212, lon=-76.230835).""]"
970,-11.984297666666668,-76.83668666666667,agente,NEW_AGENTE_00970,1181.0,LIMA,LIMA,LURIGANCHO,3,BV00004801|BV00009859|BV00006219,312.5|378.0|490.5,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=1,181 ≤ 2,000)."", ""Retirar/absorber códigos: BV00004801, BV00009859, BV00006219."", ""Insertar 1 punto consolidado en el centroide (lat=-11.984298, lon=-76.836687).""]"
971,-11.9904972,-77.07592,agente,NEW_AGENTE_00971,1904.5,LIMA,LIMA,LOS OLIVOS,5,BV00002303|BV00016287|BV00014854|BV00005741|BV00009619,312.5|340.0|379.5|433.5|439.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,904 ≤ 2,000)."", ""Retirar/absorber códigos: BV00002303, BV00016287, BV00014854, BV00005741, BV00009619."", ""Insertar 1 punto consolidado en el centroide (lat=-11.990497, lon=-77.075920).""]"
972,-9.216401999999999,-76.212926,agente,NEW_AGENTE_00972,1095.0,HUANUCO,HUAMALIES,MONZON,2,BV00012468|BV00015543,313.0|782.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=1,095 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012468, BV00015543."", ""Insertar 1 punto consolidado en el centroide (lat=-9.216402, lon=-76.212926).""]"
973,-3.4908115,-80.262926,agente,NEW_AGENTE_00973,686.5,TUMBES,ZARUMILLA,AGUAS VERDES,2,BV00012019|BV00014566,313.5|373.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=686 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012019, BV00014566."", ""Insertar 1 punto consolidado en el centroide (lat=-3.490811, lon=-80.262926).""]"
974,-16.392607400000003,-71.523787,agente,NEW_AGENTE_00974,1876.5,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,5,BV00008127|BV00015487|BV00005170|BV00014628|BV00011774,314.0|357.5|377.0|402.0|426.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,876 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008127, BV00015487, BV00005170, BV00014628, BV00011774."", ""Insertar 1 punto consolidado en el centroide (lat=-16.392607, lon=-71.523787).""]"
975,-12.0913778,-75.2001338,agente,NEW_AGENTE_00975,1646.0,JUNIN,HUANCAYO,CHILCA,5,BV00016127|BV00016163|BV00012534|BV00002534|BV00011818,315.0|323.5|329.0|335.0|343.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,646 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016127, BV00016163, BV00012534, BV00002534, BV00011818."", ""Insertar 1 punto consolidado en el centroide (lat=-12.091378, lon=-75.200134).""]"
976,-13.05908925,-76.35057425,agente,NEW_AGENTE_00976,1579.0,LIMA,CAÑETE,IMPERIAL,4,BV00008089|BV00015934|BV00015848|BV00011868,315.5|368.0|411.0|484.5,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,579 ≤ 2,000)."", ""Retirar/absorber códigos: BV00008089, BV00015934, BV00015848, BV00011868."", ""Insertar 1 punto consolidado en el centroide (lat=-13.059089, lon=-76.350574).""]"
977,-15.4882012,-70.1277846,agente,NEW_AGENTE_00977,1659.5,PUNO,SAN ROMAN,JULIACA,5,BV00012625|BV00016312|BV00011169|BV00012768|BV00016790,315.5|335.0|335.5|336.5|337.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,660 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012625, BV00016312, BV00011169, BV00012768, BV00016790."", ""Insertar 1 punto consolidado en el centroide (lat=-15.488201, lon=-70.127785).""]"
978,-11.8363795,-77.0770125,agente,NEW_AGENTE_00978,1434.0,LIMA,LIMA,CARABAYLLO,4,BV00010730|BV00010713|BV00016336|BV00005609,316.0|342.5|347.5|428.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,434 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010730, BV00010713, BV00016336, BV00005609."", ""Insertar 1 punto consolidado en el centroide (lat=-11.836379, lon=-77.077012).""]"
979,-12.072231200000001,-76.9740082,agente,NEW_AGENTE_00979,1742.5,LIMA,LIMA,ATE,5,BV00002818|BV00014923|BV00003482|BV00016648|BV00013930,316.0|328.0|333.0|378.5|387.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,742 ≤ 2,000)."", ""Retirar/absorber códigos: BV00002818, BV00014923, BV00003482, BV00016648, BV00013930."", ""Insertar 1 punto consolidado en el centroide (lat=-12.072231, lon=-76.974008).""]"
980,-9.929318799999999,-76.2401678,agente,NEW_AGENTE_00980,1646.0,HUANUCO,HUANUCO,HUANUCO,5,BV00012961|BV00010694|BV00015235|BV00012742|BV00015440,316.0|319.5|333.0|334.5|343.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=1,646 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012961, BV00010694, BV00015235, BV00012742, BV00015440."", ""Insertar 1 punto consolidado en el centroide (lat=-9.929319, lon=-76.240168).""]"
